"captchalogue_code","name","consumable","catalogue","lootonly","refrance","power","aggrieve","aggress","assail","assault","abuse","accuse","abjure","abstain","description","art","credit","abstratus","size","effects","Build_Grist_Cost","Amber_Cost","Amethyst_Cost","Artifact_Grist_Cost","Blood_Cost","Caulk_Cost","Chalk_Cost","Cobalt_Cost","Copper_Cost","Diamond_Cost","Emerald_Cost","Frosting_Cost","Garnet_Cost","Gold_Cost","Iodine_Cost","Jet_Cost","Malachite_Cost","Marble_Cost","Mercury_Cost","Obsidian_Cost","Opal_Cost","Polychromite_Cost","Quartz_Cost","Rainbow_Cost","Redstone_Cost","Rock_Candy_Cost","Rose_Quartz_Cost","Ruby_Cost","Rust_Cost","Shale_Cost","Star_Sapphire_Cost","Sulfur_Cost","Sunstone_Cost","Tar_Cost","Titanium_Cost","Topaz_Cost","Uranium_Cost","End_Of_Grists","hybrid"
"JPEGMAS!","Kringlefucker","0","0","1","0","0","0","0","0","0","0","0","0","0","This thing is so unspeakably shitty you are having a hard time getting rid of it. But why would you want to? It's the prettiest christmas tree you've ever seen.","kringlefuckercard.png","sticksSticks","notaweapon","huge","","0","0","0","-10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"ALrfw!zQ","Gardening Gloves","0","1","0","0","3","0","0","0","0","0","0","0","0","A pair of gardening gloves. The padding allows you to strike harder than you could otherwise.","gardeningglovescard.png","Caellus Slag","glovekind","large","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"DMZap3?k","Hair Shears","0","1","0","0","2","0","0","0","0","0","0","0","0","A pair of shears for grooming hair. Much like knitting needles, this seemingly domestic weapon is highly effective against the early enemies within the Medium.","hairshears.png","apocalypseGambit","shearkind","small","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"eLWbq4?Z","Laptop","0","1","0","0","0","0","0","0","0","0","0","0","0","A laptop computer. An essential basic device for running Sburb on the go.","laptop.png","Blake Barto","notaweapon, computer","average","","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"nDW61zaP","Netbook","0","1","0","0","0","0","0","0","0","0","0","0","0","A netbook computer. It runs Sburb slowly due to lower processing power, but it's a fair bit more portable.","netbookcard.png","DSPiron","notaweapon, computer","small","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"wPAZ1?Fq","Drawing Tablet","0","1","0","0","0","0","0","0","0","0","0","0","0","A drawing tablet. Links up to computing devices to let you interface with them and draw things!","drawingtabletcard.png","Utsuro","notaweapon","average","","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"5k3TCh1t","Sketchbook","0","1","0","0","2","0","0","0","0","0","0","0","0","A book designed for sketching. Essential equipment for the budding artist, and not a bad bludgeoning tool besides.","sketchbookcard.png","cometLeerer","bookkind","average","","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"tR1GWsa!","Tripod","0","1","0","0","2","0","0","0","0","0","0","0","0","A standard scientific tool, the tripod is generally used to hold items steady during experiments, often in concert with a Bunsen burner. It's also a reasonably sized hunk of metal. Just sayin'","tripod.png","imaginaryUnit","sciencekind","small","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"APBm2sQK","Slytherin Pin","0","1","0","0","1","0","0","0","0","0","0","0","0","A decorative pin bearing the emblem of Slytherin house. It has no practical use. Magic isn't real, after all.","slytherinpincard.png","appleRelisher","pinkind","tiny","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"!plTEB5?","Madoka Pins","0","1","0","1","3","0","0","0","0","0","0","0","0","A pair of pins inspired by the show ""Puella Magi Madoka Magica"". One is a Grief Seed, and the other one appears to be a blue Soul Gem. Pretty sweet merch, on the whole.","madokapinscard.png","Urmille","notaweapon","small","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"p4PLZwM1","Paper Shears","0","1","0","0","2","0","0","0","0","0","0","0","0","A pair of shears for cutting paper. Despite the name, of no use against rocks.","papershears.png","apocalypseGambit","shearkind","average","","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"AMKansbQ","Sewing Shears","0","1","0","0","2","0","0","0","0","0","0","0","0","Shears for use for sewing applications. Bonus damage against enemy clothing, which conveniently translates to no actual combat effect.","","","shearkind","average","","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"B0pWwLAt","Inflatable Crayon","0","1","0","0","1","0","0","0","0","0","0","0","0","A jumbo-sized inflatable crayon. It is not incredibly useful as a weapon as is, but it sure is hilarious.","inflatablecrayon.png","apocalypseGambit","inflatablekind","large","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"meJK?lk0","Rapier","0","1","0","0","3","0","0","0","0","0","0","0","0","A Rapier that was used back in the 16th century. Your possession of it is either an indicator of Weird Time Shit, or you're just a huge nerd that collects this sort of stuff. <!-- You found the first! -->","rapier.png","Reecer6","bladekind","average","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"svtS!l!6","Rapiern of Scribing","0","0","0","0","3","0","0","0","0","0","0","0","0","A pen in the shape of a Rapier. Unfortunately not designed with strife in mind, but it makes for a pretty badass writing implement.","","","penkind, bladekind","average","","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","0","0","","0"
"G8300hk0","Strife Rapiern","0","0","0","0","22","0","0","0","0","0","0","0","0","A rapier with a fountain pen head for a tip. The metal that makes up the rapier's blade is semi-transparent, so you can see the Ink sloshing around inside. Unfortunately it has a habit of slicing paper to ribbons when you attempt to write with it.","Strife Rapiern.jpg","dubiousImaginative","penkind, bladekind","average","","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","","0"
"gPBs!?t?","SledgeHu","0","0","0","0","28","0","2","0","0","0","0","0","0","An erhu with the strength of a SLEDGEHAMMER. Now you can make amazing music, AND KICK ASS!","sledgehu.png","Andral Enziac","hammerkind, stringskind","large","","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"8O1W2mIK","Serpent Blade","0","0","0","0","20","0","0","-2","0","0","4","0","0","A green blade with a snake pattern on the hilt. Wielding it makes you feel a little like you possess the proverbial forked tongue.","serpentbladecard.png","prince","bladekind","average","","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"AKKWmsbQ","Edwardian Executioners","0","0","0","0","55","4","0","0","0","-2","0","0","4","These scissor-hands are made for cutting, and that's just what they'll do. Unless wielded by an uncommonly gentle man, of course. Do not aim at face.","","","glovekind, clawkind, scissorkind","large","","500","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"F!BzE!Rt","Basic Spellbook","0","0","0","0","25","0","0","0","0","0","0","0","0","This book seems to have some magic powers. Saying the simple words in it make simple spells  come out of it. Awesome. Unfortunately, Fireball is 3rd-level, so this spellbook doesn't allow you to cast it. The cover appears to be studded with gemstones, which is typical of pretentious wizards.","basicspellbook.png","Resorat","bookkind","small","","10","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"120G040G","Triple Pogo Hammer","0","0","0","0","37","2","0","0","0","0","0","0","0","Like an ordinary Pogo Hammer, but with three springy whacky things attached, which gives it better coverage and makes you less likely to fall flat on your face when bouncing. Pogo a go go go!","","","hammerkind","average","","333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","333","0","0","0","0","0","0","0","","0"
"QVrh!!!V","Shitty replica mutant claws","0","0","0","0","10","-5","-5","4","8","4","0","-5","-5","Pretty cool looking, but not very effective as an actual weapon. Made with a mutant healing factor in mind. Oh, you don't have one of those? Sucks to be you then.","","","glovekind, clawkind","large","","20","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"pKPr!wN9","Poisoned Shears","0","0","0","0","110","5","0","0","0","0","0","0","0","Gardening shears tainted by a highly venomous candy-based unction, turning makeshift weapon into a tool of slow death.","","","shearkind","average","","0","0","0","0","0","1000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","1000","50","0","0","","0"
"8O1W?uJS","Basilisk Fang","0","0","0","0","95","0","0","0","0","0","10","0","0","Not a literal basilisk fang, but a sword reminiscent of it in both reptilian motif and the fact that it's highly venomous.","basiliskfangcard.png","Murali","bladekind","average","POISON:10:20","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2000","0","3000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000","0","0","0","","0"
"URdh7x!N","The Mightier Sword","0","0","0","0","250","0","0","0","25","0","0","0","0","You know what they say about the pen being mightier than the sword? This thing kicks both their butts.","","","bladekind","average","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5000","0","0","0","5000","5000","0","0","","0"
"mIrAcLeS","Faygo - Red Pop flavour","1","1","0","0","0","0","0","0","0","0","0","0","0","The original Faygo flavour, supposedly. Tastes kind of funny, but you'll get used to it. Probably.","faygoredpopcard.png","Zoidberg","notaweapon","average","","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"qzpq!!!S","Tektroxcaliburn","0","0","0","0","250","0","20","0","0","20","0","0","0","A powerful writing tool and weapon. Using it will boost your diplomatic skills to high levels. But it looks slightly...off?","","","penkind, bladekind","average","","0","0","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","0","","0"
"rQLX3M9z","Fedora","0","1","0","0","0","0","0","0","0","0","0","0","0","A plain fedora. It looks like it could be rather Hard-Boiled.","fedoracard.png","iZanami","notaweapon, headgear","average","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"gGapl3Z?","Candy Corn","1","1","0","0","0","0","0","0","0","0","0","0","0","Some pieces of Candy Corn. They look pretty tasty.","candycorncard.png","Anti","notaweapon","small","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0"
"WG4X321y","Sweet Bounty","0","0","0","0","1","0","0","0","0","0","0","0","0","A detective's hard-earned bounty. It's a hat with some candy corn under it.","sweetbounty.gif","iconoClasmic","notaweapon, headgear","average","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0"
"WG0W321S","Tectrixcalibur","0","0","0","0","5555","0","555","0","0","555","0","0","0","The ultimate Diplomatic Weapon. This Sword/Quill can dish out the sickest of officially notarized burns, and you don't even have to pull it out of some shitty stone first or get it distributed to you by a strange woman lying in a pond!","tectrixcaliburcard.png","The_Godfather","penkind, bladekind","average","","0","0","0","0","0","0","0","100000","0","100000","0","0","100000","1000","0","0","0","0","0","100000","1000","1000","0","0","0","0","0","0","0","0","100000","0","0","1000000","0","0","0","","0"
"AKKW??bQ","Fingers of Blight","0","0","0","0","212","0","0","0","15","0","0","-15","-30","Claws that are prefered by spooks and assassains. Quick, very sharp, highly poisonous, but try to defend yourself and you risk self-inflicted wounds.","","","glovekind, clawkind","large","","0","0","0","0","1000","0","0","0","0","5","0","0","0","0","0","0","0","0","0","750","0","0","0","0","0","0","0","0","0","0","0","0","0","1500","500","0","0","","0"
"yAPG4mwL","Pointy Anime Shades","0","1","0","0","0","0","0","0","0","0","0","0","0","A pair of pointed, easily recognizable sunglasses. Makes you want to fight the power.","pointyanimeshadescard.jpg","sublimeGuardian","notaweapon, facegear","small","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"yQvp7n!N","Unbreakable Katana","0","0","0","0","250","0","0","0","0","0","0","0","0","A real hard sword for a real hard dude","unbreakablekatanacard.jpg","sublimeGuardian","bladekind, ninjakind","large","","0","0","0","0","0","0","0","1000","1000","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","2000","0","0","0","0","0","0","0","0","0","6000","0","0","","0"
"WG52c588","Faygo - Blitzin\' Blue Raspberry flavour","1","0","0","0","0","0","0","0","0","0","0","0","0","A sweet drink with a weird name and healing capabilities. Unfortunately, the healing process gives it a strange chalky aftertaste.","blueraspberryfaygocard.png","surgicalInsomniac","notaweapon","small","","30","0","0","0","0","0","15","25","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","0"
"em5rFQ?d","Skateboard","0","1","0","0","4","0","0","0","0","0","0","0","0","Your basic ""fuckin' wheelie"" tool, it also finds many important applications in the field of ollie-ing outie.","skateboardcard.png","iZanami","skatekind","average","","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"WG4qDIM5","UNREAL AIR","0","0","0","0","0","0","0","0","0","0","0","0","0","GOIGN UP................","unrealair.png","omnipotentVirus","skatekind","small","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"8Q1X6nJN","Magical Blade","0","0","0","0","108","1","1","1","1","1","1","1","1","A +1 magical sword. Whoaaa! +1 to what, you ask? EVERYTHING!","","","bladekind","average","","0","0","500","0","0","0","0","500","0","50","1","0","500","500","0","0","0","0","0","0","0","0","0","0","0","0","500","500","0","0","0","0","500","0","100","500","0","","0"
"avMW5FRk","Hard-boiled Revolver","0","1","0","0","4","0","0","0","0","0","0","0","0","Does the name refer to the fact that this gun is commonly used by hard-boiled detectives, or to some obscure manufacturing process involving boiling the gun itself? We may never know.","hardboiledrevolverrep.png","narcoticsNoir","pistolkind","average","","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","0"
"4u4W593k","Confection\'s Malice","0","0","0","0","15","0","3","0","0","0","1","0","0","A hard-boiled way to gun down the enemy with fruit snack laden lead. Just make sure not to mistake the ammunition for actual fruit snacks or you may end up with lead poisoning. Or fruit poisoning.","","","pistolkind","average","","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","","0"
"gP4nUMe!","Dark Souls","0","1","0","1","0","0","0","0","0","0","0","0","0","A really hard video game about knights and getting murdered by everything. It's hard to tell if it\'s the spiritual successor to Demon's Souls or Dwarf Fortress.","darksoulscard.jpg","sublimeGuardian","notaweapon","small","","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"wRbpVt!!","Uchigatana","0","0","0","0","30","0","0","-1","-3","0","0","-1","-3","A beautifully crafted blade from the far east, fabricated from the realms of fantasy. Cuts cleanly, with good range, but has a brittle blade.","uchigatanacard.jpg","sublimeGuardian","bladekind","average","","25","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"wvNr?!k!","Judgment Rapier","0","0","0","0","450","25","0","0","0","-10","50","0","0","A rapier blessed by Velka, Goddess of Judgement, and wielded by her faithful clerics, the Pardoners, near inhuman swordsman who fight with finesse beyond imagining. Of course, you are not a Pardoner. But, hey, you can pretend, right?","","","bladekind","average","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10000","0","0","","0"
"W80GU6e0","Royal Rapier","0","0","0","0","110","0","0","0","-5","0","0","0","0","The jeweled rapier of the Undead prince, Ricard. Sharp and classy, suitable for royalty.","","","bladekind","average","","0","0","1","0","0","0","0","0","1500","0","0","0","0","500","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150","1","0","","0"
"f3Mdw1P?","Claymore","0","1","0","0","8","0","0","0","2","0","0","-2","-4","A featherweight among greatswords. It's still bloody heavy, though! ","claymorecard.png","Murali","bladekind","large","","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"wMrg?!jU","Hand-Shaped Poison Faygo Bottle","1","0","0","0","0","0","0","0","0","0","0","0","0","A bottle of Faygo in the shape of a hand. The liquid inside also appears to have poisonous properties. You...you GUESS this could be useful?","","","notaweapon","small","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"WIin189Q","Fear No Anvil","0","0","1","0","300","0","50","0","25","0","0","0","0","The hammer of the Denizen Hephaestus. Despite the incredible power it possesses, everyone nearby is still drawn to slap the user when they attempt to make any joke regarding hammertime. (Get it? 'cause the hammer stops time! Wait, I forgot to mention that, didn't I. Shit)","fearnoanvil.png","WZaD","hammerkind","average","TIMESTOP:12|AFFINITY:Time:25|","5000","0","0","0","0","0","0","0","0","5000","0","0","5000","5000","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"A0nWwL8I","Inflatable Boxing Gloves","0","0","0","0","18","0","0","1","0","0","0","1","0","They may not be fists of steel, but they pack enough of a wallop to knock the wind out of your enemies.","","","inflatablekind, glovekind","large","","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","5","0","0","0","","0"
"!p!z?VF!","Blow-Up Doll","0","0","0","0","25","0","0","0","0","0","0","0","0","It's a doll that blows up. Why, what were you expecting?","blowupdoll.png","palpusglissade","explosivekind","large","","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","","0"
"FFFFFFWW","Ahab\'s Crosshairs","0","0","1","0","9999","0","0","0","0","0","0","0","0","Legendary piece of shit only wielded by the most desperate of wwhalers.","ahabscrosshairs.png","Gelu (previously by iZanami)","riflekind","large","","16777215","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","0"
